Name_of_title,Name_ofAuthors,Cite,PubMedId,Links
Combining temporal planning with probabilistic reasoning for autonomous surveillance missions.,"Bernardini S, Fox M, Long D.",Auton Robots. 2017;41(1):181-203. doi: 10.1007/s10514-015-9534-0. Epub 2015 Dec 28.,32355413,https://pubmed.ncbi.nlm.nih.gov/32355413/
Avoiding obstacles in cooperative load transportation.,"Pizetta IHB, Brandão AS, Sarcinelli-Filho M.",ISA Trans. 2019 Aug;91:253-261. doi: 10.1016/j.isatra.2019.01.019. Epub 2019 Feb 4.,30738583,https://pubmed.ncbi.nlm.nih.gov/30738583/
